glyph_name,ps_name,sort_final,USV,bcp47tags,Feat
.notdef,.notdef,0,,,
.null,.null,1,,,
nonmarkingreturn,nonmarkingreturn,2,,,
space,space,3,0020,,
space.latn,space.latn,4,,,
exclam,exclam,5,0021,,
exclam.latn,exclam.latn,6,,,
quotedbl,quotedbl,7,0022,,
numbersign,numbersign,8,0023,,
dollar,dollar,9,0024,,
percent,percent,10,0025,,
percent.latn,percent.latn,11,,,
ampersand,ampersand,12,0026,,
ampersand.latn,ampersand.latn,13,,,
quotesingle,quotesingle,14,0027,,
parenleft,parenleft,15,0028,,
parenleft.latn,parenleft.latn,16,,,
parenright,parenright,17,0029,,
parenright.latn,parenright.latn,18,,,
asterisk,asterisk,19,002A,,
asterisk.latn,asterisk.latn,20,,,
plus,plus,21,002B,,
plus.latn,plus.latn,22,,,
comma,comma,23,002C,,
comma.latn,comma.latn,24,,,
hyphen,hyphen,25,002D,,
hyphen.latn,hyphen.latn,26,,,
period,period,27,002E,,
period.latn,period.latn,28,,,
slash,slash,29,002F,,
slash.latn,slash.latn,30,,,
zero,zero,31,0030,,
zero.latn,zero.latn,32,,,
one,one,33,0031,,
one.latn,one.latn,34,,,
two,two,35,0032,,
two.latn,two.latn,36,,,
three,three,37,0033,,
three.latn,three.latn,38,,,
four,four,39,0034,,
four.latn,four.latn,40,,,
five,five,41,0035,,
five.latn,five.latn,42,,,
six,six,43,0036,,
six.latn,six.latn,44,,,
seven,seven,45,0037,,
seven.latn,seven.latn,46,,,
eight,eight,47,0038,,
eight.latn,eight.latn,48,,,
nine,nine,49,0039,,
nine.latn,nine.latn,50,,,
colon,colon,51,003A,,
colon.latn,colon.latn,52,,,
semicolon,semicolon,53,003B,,
semicolon.latn,semicolon.latn,54,,,
less,less,55,003C,,
less.latn,less.latn,56,,,
equal,equal,57,003D,,
equal.latn,equal.latn,58,,,
greater,greater,59,003E,,
greater.latn,greater.latn,60,,,
question,question,61,003F,,
question.latn,question.latn,62,,,
at,at,63,0040,,
A,A,64,0041,,
B,B,65,0042,,
C,C,66,0043,,
D,D,67,0044,,
E,E,68,0045,,
F,F,69,0046,,
G,G,70,0047,,
H,H,71,0048,,
I,I,72,0049,,
J,J,73,004A,,
K,K,74,004B,,
L,L,75,004C,,
M,M,76,004D,,
N,N,77,004E,,
O,O,78,004F,,
P,P,79,0050,,
Q,Q,80,0051,,
R,R,81,0052,,
S,S,82,0053,,
T,T,83,0054,,
U,U,84,0055,,
V,V,85,0056,,
W,W,86,0057,,
X,X,87,0058,,
Y,Y,88,0059,,
Z,Z,89,005A,,
bracketleft,bracketleft,90,005B,,
backslash,backslash,91,005C,,
bracketright,bracketright,92,005D,,
asciicircum,asciicircum,93,005E,,
underscore,underscore,94,005F,,
grave,grave,95,0060,,
a,a,96,0061,,
b,b,97,0062,,
c,c,98,0063,,
d,d,99,0064,,
e,e,100,0065,,
f,f,101,0066,,
g,g,102,0067,,
h,h,103,0068,,
i,i,104,0069,,
j,j,105,006A,,
k,k,106,006B,,
l,l,107,006C,,
m,m,108,006D,,
n,n,109,006E,,
o,o,110,006F,,
p,p,111,0070,,
q,q,112,0071,,
r,r,113,0072,,
s,s,114,0073,,
t,t,115,0074,,
u,u,116,0075,,
v,v,117,0076,,
w,w,118,0077,,
x,x,119,0078,,
y,y,120,0079,,
z,z,121,007A,,
braceleft,braceleft,122,007B,,
bar,bar,123,007C,,
braceright,braceright,124,007D,,
asciitilde,asciitilde,125,007E,,
nbspace,uni00A0,126,00A0,,
exclamdown,exclamdown,127,00A1,,
cent,cent,128,00A2,,
sterling,sterling,129,00A3,,
currency,currency,130,00A4,,
yen,yen,131,00A5,,
brokenbar,brokenbar,132,00A6,,
section,section,133,00A7,,
dieresis,dieresis,134,00A8,,
copyright,copyright,135,00A9,,
ordfeminine,ordfeminine,136,00AA,,
guillemetleft,guillemotleft,137,00AB,,
logicalnot,logicalnot,138,00AC,,
softhyphen,uni00AD,139,00AD,,
softhyphen.latn,uni00AD.latn,140,,,
registered,registered,141,00AE,,
macron,macron,142,00AF,,
degree,degree,143,00B0,,
plusminus,plusminus,144,00B1,,
twosuperior,uni00B2,145,00B2,,
threesuperior,uni00B3,146,00B3,,
acute,acute,147,00B4,,
mu,mu,148,00B5,,
paragraph,paragraph,149,00B6,,
periodcentered,periodcentered,150,00B7,,
cedilla,cedilla,151,00B8,,
onesuperior,uni00B9,152,00B9,,
ordmasculine,ordmasculine,153,00BA,,
guillemetright,guillemotright,154,00BB,,
onequarter,onequarter,155,00BC,,
onehalf,onehalf,156,00BD,,
threequarters,threequarters,157,00BE,,
questiondown,questiondown,158,00BF,,
Agrave,Agrave,159,00C0,,
Aacute,Aacute,160,00C1,,
Acircumflex,Acircumflex,161,00C2,,
Atilde,Atilde,162,00C3,,
Adieresis,Adieresis,163,00C4,,
Aring,Aring,164,00C5,,
AE,AE,165,00C6,,
Ccedilla,Ccedilla,166,00C7,,
Egrave,Egrave,167,00C8,,
Eacute,Eacute,168,00C9,,
Ecircumflex,Ecircumflex,169,00CA,,
Edieresis,Edieresis,170,00CB,,
Igrave,Igrave,171,00CC,,
Iacute,Iacute,172,00CD,,
Icircumflex,Icircumflex,173,00CE,,
Idieresis,Idieresis,174,00CF,,
Eth,Eth,175,00D0,,
Ntilde,Ntilde,176,00D1,,
Ograve,Ograve,177,00D2,,
Oacute,Oacute,178,00D3,,
Ocircumflex,Ocircumflex,179,00D4,,
Otilde,Otilde,180,00D5,,
Odieresis,Odieresis,181,00D6,,
multiply,multiply,182,00D7,,
Oslash,Oslash,183,00D8,,
Ugrave,Ugrave,184,00D9,,
Uacute,Uacute,185,00DA,,
Ucircumflex,Ucircumflex,186,00DB,,
Udieresis,Udieresis,187,00DC,,
Yacute,Yacute,188,00DD,,
Thorn,Thorn,189,00DE,,
germandbls,germandbls,190,00DF,,
agrave,agrave,191,00E0,,
aacute,aacute,192,00E1,,
acircumflex,acircumflex,193,00E2,,
atilde,atilde,194,00E3,,
adieresis,adieresis,195,00E4,,
aring,aring,196,00E5,,
ae,ae,197,00E6,,
ccedilla,ccedilla,198,00E7,,
egrave,egrave,199,00E8,,
eacute,eacute,200,00E9,,
ecircumflex,ecircumflex,201,00EA,,
edieresis,edieresis,202,00EB,,
igrave,igrave,203,00EC,,
iacute,iacute,204,00ED,,
icircumflex,icircumflex,205,00EE,,
idieresis,idieresis,206,00EF,,
eth,eth,207,00F0,,
ntilde,ntilde,208,00F1,,
ograve,ograve,209,00F2,,
oacute,oacute,210,00F3,,
ocircumflex,ocircumflex,211,00F4,,
otilde,otilde,212,00F5,,
odieresis,odieresis,213,00F6,,
divide,divide,214,00F7,,
oslash,oslash,215,00F8,,
ugrave,ugrave,216,00F9,,
uacute,uacute,217,00FA,,
ucircumflex,ucircumflex,218,00FB,,
udieresis,udieresis,219,00FC,,
yacute,yacute,220,00FD,,
thorn,thorn,221,00FE,,
ydieresis,ydieresis,222,00FF,,
dotlessi,dotlessi,223,0131,,
OE,OE,224,0152,,
oe,oe,225,0153,,
Scaron,Scaron,226,0160,,
scaron,scaron,227,0161,,
Ydieresis,Ydieresis,228,0178,,
Zcaron,Zcaron,229,017D,,
zcaron,zcaron,230,017E,,
florin,florin,231,0192,,
circumflex,circumflex,232,02C6,,
caron,caron,233,02C7,,
breve,breve,234,02D8,,
dotaccent,dotaccent,235,02D9,,
